feature,coefficient,value,contribution,date,pc1_probability
total_events,-0.2501932096314304,35000.0,0.6041877772805315,2026-01-26,0.5871246371297487
total_mentions,0.2655772292768726,12000.0,-0.4783453499617643,2026-01-26,0.5871246371297487
mean_tone,0.1377822128946823,71.0,0.0486329896677956,2026-01-26,0.5871246371297487
total_events,-0.2501932096314304,35000.0,0.6041877772805315,2026-01-30,0.5871246371297487
total_mentions,0.2655772292768726,12000.0,-0.4783453499617643,2026-01-30,0.5871246371297487
mean_tone,0.1377822128946823,71.0,0.0486329896677956,2026-01-30,0.5871246371297487
total_events,-0.2501932096314304,35000.0,0.6041877772805315,2026-02-02,0.5871246371297487
total_mentions,0.2655772292768726,12000.0,-0.4783453499617643,2026-02-02,0.5871246371297487
mean_tone,0.1377822128946823,71.0,0.0486329896677956,2026-02-02,0.5871246371297487
total_events,-0.2501932096314304,35000.0,0.6041877772805315,2026-02-03,0.5871246371297487
total_mentions,0.2655772292768726,12000.0,-0.4783453499617643,2026-02-03,0.5871246371297487
mean_tone,0.1377822128946823,71.0,0.0486329896677956,2026-02-03,0.5871246371297487
total_events,-0.2501932096314304,35000.0,0.6041877772805315,2026-02-04,0.5871246371297487
total_mentions,0.2655772292768726,12000.0,-0.4783453499617643,2026-02-04,0.5871246371297487
mean_tone,0.1377822128946823,71.0,0.0486329896677956,2026-02-04,0.5871246371297487
total_events,-0.2501932096314304,35000.0,0.6041877772805315,2026-02-05,0.5871246371297487
total_mentions,0.2655772292768726,12000.0,-0.4783453499617643,2026-02-05,0.5871246371297487
mean_tone,0.1377822128946823,71.0,0.0486329896677956,2026-02-05,0.5871246371297487
total_events,-0.2501932096314304,35000.0,0.6041877772805315,2026-02-06,0.5871246371297487
total_mentions,0.2655772292768726,12000.0,-0.4783453499617643,2026-02-06,0.5871246371297487
mean_tone,0.1377822128946823,71.0,0.0486329896677956,2026-02-06,0.5871246371297487
total_events,-0.2501932096314304,35000.0,0.6041877772805315,2026-02-07,0.5871246371297487
total_mentions,0.2655772292768726,12000.0,-0.4783453499617643,2026-02-07,0.5871246371297487
mean_tone,0.1377822128946823,71.0,0.0486329896677956,2026-02-07,0.5871246371297487
mean_tone,0.0821503825754377,72.1845,0.0760210491210403,2026-02-08,0.6047808605913857
total_mentions,-0.0757564051342696,63180.0,0.0384685463570129,2026-02-08,0.6047808605913857
total_events,-0.0374252067738791,126360.0,0.0261791999377129,2026-02-08,0.6047808605913857
mean_tone,0.0821503825754377,72.046,0.0703469082919329,2026-02-09,0.6028987899875176
total_mentions,-0.0757564051342696,63840.0,0.0372094410431699,2026-02-09,0.6028987899875176
total_events,-0.0374252067738791,127680.0,0.0252448151932607,2026-02-09,0.6028987899875176
mean_tone,0.0821503825754377,72.6814,0.0963783096118963,2026-02-10,0.6179240037583914
total_mentions,-0.0757564051342696,52659.99999999999,0.0585379219655408,2026-02-10,0.6179240037583914
total_events,-0.0374252067738791,105320.0,0.041072726470497,2026-02-10,0.6179240037583914
mean_tone,0.0821503825754377,72.3852,0.084243432257516,2026-02-11,0.6164782124596349
total_mentions,-0.0757564051342696,50849.99999999999,0.0619909229019891,2026-02-11,0.6164782124596349
total_events,-0.0374252067738791,101700.0,0.0436352058454341,2026-02-11,0.6164782124596349
mean_tone,0.0821503825754377,71.7988,0.060219488703807,2026-02-12,0.5890416008022717
total_mentions,-0.0757564051342696,78110.0,0.0099860579696249,2026-02-12,0.5890416008022717
total_events,-0.0374252067738791,156220.0,0.0050422844306344,2026-02-12,0.5890416008022717
total_mentions,-0.07575640513426968,45290.0,0.07259793130345445,2026-02-13,0.6151449041242805
mean_tone,0.08215038257543773,71.7966,0.060129357946954676,2026-02-13,0.6151449041242805
total_events,-0.03742520677387915,90580.0,0.05150668945021358,2026-02-13,0.6151449041242805
