,total_events,mean_tone,total_mentions,PC1_Direction
2013-04-01,27758.0,72.26014122054903,7920.2,1.0
2013-04-02,35363.0,71.07193959788479,14767.5,-1.0
2013-04-03,41602.0,71.27491466756406,17777.9,1.0
2013-04-04,39650.0,71.12867591424968,16803.7,-1.0
2013-04-05,37680.0,70.37386203784803,17980.399999999998,1.0
2013-04-08,38770.0,68.03946350270827,23570.5,1.0
2013-04-09,41762.0,68.8156458024041,18288.1,1.0
2013-04-10,42592.0,67.89021412471826,26201.4,1.0
2013-04-11,41340.0,68.65827285921625,21715.7,-1.0
2013-04-12,36302.0,69.75902154151287,15918.0,-1.0
2013-04-15,36456.0,69.7151086240948,18184.1,1.0
2013-04-16,31857.0,69.85946573751451,12550.9,-1.0
2013-04-17,34975.0,68.56394567548249,19316.1,-1.0
2013-04-18,35320.0,68.51769535673839,20779.8,1.0
2013-04-19,29175.0,69.0950471293916,17248.5,1.0
2013-04-22,35132.0,68.17704656723215,22883.6,1.0
2013-04-23,40066.0,70.9574452153946,17322.1,1.0
2013-04-24,35465.0,68.37806287889468,17833.4,1.0
2013-04-25,40460.0,69.72770637666831,19096.1,-1.0
2013-04-26,34853.0,69.93710727914383,16217.4,1.0
2013-04-29,36968.0,68.91084180913222,20395.0,1.0
2013-04-30,38248.0,71.99458795231124,10740.5,-1.0
2013-05-01,32189.0,71.23243031667495,7671.799999999999,1.0
2013-05-02,38156.0,71.61814655624279,15470.7,1.0
2013-05-03,34805.0,72.370119235742,7357.599999999999,1.0
2013-05-06,38083.0,72.28640075624294,6638.7,1.0
2013-05-07,43298.0,70.66633562751166,19161.3,1.0
2013-05-08,42193.0,69.46119024482734,23112.5,-1.0
2013-05-09,38960.0,70.21429671457905,15507.2,1.0
2013-05-10,35661.0,69.9527775440958,17979.1,-1.0
2013-05-13,36199.0,69.76361225448217,19297.4,1.0
2013-05-14,38450.0,67.43555266579973,28811.2,1.0
2013-05-15,40594.0,70.60045819579248,17467.8,-1.0
2013-05-16,37924.0,70.39518510705622,16259.8,1.0
2013-05-17,34691.0,69.57522123893806,18148.2,-1.0
2013-05-20,37600.0,71.57117021276596,12249.5,1.0
2013-05-21,41019.0,70.34652234330433,20872.4,-1.0
2013-05-22,43653.0,68.31713742469017,28068.1,-1.0
2013-05-23,39707.0,70.11519379454504,17257.899999999998,-1.0
2013-05-24,35477.0,69.76105645911436,17278.5,1.0
2013-05-28,37986.0,70.36824093086926,16934.8,-1.0
2013-05-29,40634.0,71.32785352168135,13104.2,1.0
2013-05-30,42487.0,71.34621007747569,20108.6,-1.0
2013-05-31,40410.0,70.59116555308093,17335.3,1.0
2013-06-03,38890.0,74.81151967086655,2762.4999999999995,-1.0
2013-06-04,41569.0,70.99085857249392,13488.9,-1.0
2013-06-05,42297.0,70.53788684776698,16659.5,1.0
2013-06-06,38538.0,70.70475893922881,14368.8,1.0
2013-06-07,36215.0,69.05831837636339,18575.7,-1.0
2013-06-10,35636.0,69.92156807722527,14253.4,-1.0
2013-06-11,42119.0,70.16586338706996,17059.5,-1.0
2013-06-12,43883.0,69.63393569263724,18694.7,1.0
2013-06-13,121053.0,68.78504456725567,74679.0,-1.0
2013-06-14,109701.0,67.61234628672483,78217.4,1.0
2013-06-17,120282.0,66.76202590578806,99694.8,1.0
2013-06-18,108691.0,65.9986124251419,92993.2,-1.0
2013-06-19,106132.0,66.75891342856066,88762.7,-1.0
2013-06-20,110374.0,66.6557160200772,101396.3,1.0
2013-06-21,114975.0,68.30187432050445,85236.9,-1.0
2013-06-24,98687.0,66.76841934601315,78487.0,1.0
2013-06-25,95029.0,67.39181723473887,68055.3,1.0
2013-06-26,84632.0,67.44727762548445,63042.2,1.0
2013-06-27,131426.0,66.69846149163789,114424.3,-1.0
2013-06-28,118044.0,67.39094415500958,80360.6,1.0
2013-07-01,84091.0,67.11966797873733,64010.3,-1.0
2013-07-02,140894.0,67.36027084190953,94360.9,-1.0
2013-07-03,135361.0,68.03386499804228,85538.09999999999,1.0
2013-07-05,110045.0,69.77533736198828,56468.8,1.0
2013-07-08,124064.0,69.59526532608325,71534.3,1.0
2013-07-09,130545.0,69.18270328239305,81094.1,1.0
2013-07-10,127518.0,69.08921877695698,77632.5,1.0
2013-07-11,124059.0,69.63818828138224,68634.4,1.0
2013-07-12,122971.0,68.86848931861984,74097.4,1.0
2013-07-15,125250.0,71.60315369261477,53845.8,-1.0
2013-07-16,135370.0,72.72654101585316,46603.1,1.0
2013-07-17,146249.0,69.79150626670952,81228.8,1.0
2013-07-18,143284.0,69.63581418720862,77152.3,1.0
2013-07-19,133693.0,70.96148639046173,64830.1,1.0
2013-07-22,134258.0,69.58861296905957,77226.59999999999,-1.0
2013-07-23,111209.0,69.52989416324219,67652.2,-1.0
2013-07-24,131795.0,68.31561895367805,90544.5,1.0
2013-07-25,141453.0,76.83679663524133,78383.09999999999,-1.0
2013-07-26,131908.0,71.21036631591716,56482.1,-1.0
2013-07-29,129702.0,69.6000678478358,77411.0,1.0
2013-07-30,140218.0,70.8808053289211,73018.59999999999,1.0
2013-07-31,140622.0,69.8310363954431,76950.4,1.0
2013-08-01,138923.0,69.23826868121189,92673.1,-1.0
2013-08-02,123501.0,69.22965613442858,55827.7,-1.0
2013-08-05,136133.0,71.0606686108438,60130.9,-1.0
2013-08-06,156650.0,71.76977338014683,60475.5,-1.0
2013-08-07,156102.0,70.49982063010083,75101.59999999999,1.0
2013-08-08,146540.0,70.63661798826259,72142.3,-1.0
2013-08-09,124547.0,71.68657050955022,44332.5,-1.0
2013-08-12,135312.0,72.30993555634386,54773.0,1.0
2013-08-13,143380.0,71.35535639559214,65878.5,-1.0
